house_price,rental_agency,city,bedrooms,surface
1500,Van Haaren Vastgoed B.V.,Delft,3,75
895,HousingXL.nl,Maastricht,1,20
1295,Heimstaden,Amsterdam,2,32
995,Heimstaden,Purmerend,5,94
1500,Amsterdam Rental Homes,Amsterdam,3,58
712,Ben-s.nl verhuur en beheer,Groningen,1,24
900,Ben-s.nl verhuur en beheer,Groningen,2,36
850,Ben-s.nl verhuur en beheer,Groningen,2,41
1450,Amstelland Makelaars,Amsterdam,3,65
1500,Amstelland Makelaars,Amsterdam,2,50
1550,Rotsvast Eindhoven,Eindhoven,4,105
1550,Amsterdam Rental Homes,Amsterdam,3,65
1395,Stoit Groep,Eindhoven,4,107
910,Housedby,Goes,2,67
1150,Relocation Advisers B.V.,Amsterdam,1,25
1895,Tweelwonen.nl Rotterdam,Rotterdam,4,136
1700,Valerius Rentals,Amsterdam,3,41
2750,Interhouse verhuurmakelaars Amsterdam,Amsterdam,5,200
1750,Interhouse verhuurmakelaars Amsterdam,Amsterdam,3,93
1495,DutchRelocate,Haarlem,3,85
1395,Q Makelaars,Den Haag,2,72
1295,VHPN,Rotterdam,3,80
1045,Homeland Real Estate,Den Haag,2,90
1250,Brick Vastgoed,Eindhoven,3,75
1000,PSG-Wonen,Den Haag,1,32
1025,Loftly,Rotterdam,2,38
2000,Mac Housing,Amsterdam,3,105
2000,Mac Housing,Amsterdam,2,95
1200,Mac Housing,Badhoevedorp,1,25
845,Huizenbalie.nl,Leiden,1,44
1500,Huizenbalie.nl,Rotterdam,5,102
1550,Housing Agency,Amsterdam,2,55
1045,RE/MAX Makelaarsgilde Leiden,Leiden,2,50
920,Vastgoedhart,Rotterdam,2,65
925,Urban Short Stay,Delft,2,42
995,RTZN Makelaardij,Maastricht,2,66
490,RTZN Makelaardij,Maastricht,1,15
2325,LIV Residential,Amsterdam,4,84
740,Reham Makelaars | Taxateurs,Terneuzen,2,48
895,Brick Brokers,Hilversum,2,45
995,Urban Short Stay,Rotterdam,2,58
1030,Van Santvoort Makelaars Eindhoven,Best,4,97
1395,Van Huis Uit Makelaars,Amsterdam,3,62
1600,Grand Relocation,Amsterdam,3,72
2075,Grand Relocation,Amsterdam,3,91
1195,Census Real Estate,Eindhoven,3,180
1045,realestate.nl ,Rotterdam,2,59
2000,Dutch Housing Centre BV,Amsterdam,3,61
1375,Lighthouse Property Services,Haarlem,2,62
2525,Vlaanderen Makelaardij BV,Muiderberg,7,148
1495,Amstel Housing Utrecht,Utrecht,3,75
1900,Mooi Makelaardij,Amstelveen,3,104
1600,Maasstad Woningverhuur,Rotterdam,3,122
1295,VHPN,Rotterdam,3,80
1265,Keij Beheer V.O.F,Leiden,3,91
1099,Woonstad Rotterdam,Rotterdam,5,117
1400,020Apartment,Amsterdam,2,80
525,Immovita,Den Haag,1,35
670,Immovita,Den Haag,2,40
1250,Clairesrealestate,Amsterdam,1,30
1250,Clairesrealestate,Amsterdam,2,36
1250,Langezaal makelaars,Den Haag,3,71
395,LW23,Haarlem,1,9
950,RandstadHousing,Rotterdam,3,60
540,Woonhuis Limburg,Noorbeek,2,40
635,Inleidenhuren B.V.,Leiden,2,19
1100,Maxx Groningen,Groningen,2,70
700,Van Der Huizen,Utrecht,1,31
1075,Lightcity Housing,Eindhoven,2,55
1550,De Nieuwe Verhuurmakelaar,Amstelveen,3,75
